"";"Financial value of loss (current USD)";"% of national agricultural GDP (%)";"% of national GDP (%)"
"Maize";"1248196774.6918";"";""
"Rice";"";"";""
"Sorghum";"507562386.06874";"";""
"Millet";"118130120.34177";"";""
"Wheat";"";"";""
"Barley";"";"";""
"Fonio";"";"";""
"Oats";"";"";""
"Teff";"";"";""
