Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"122","'426","Lesotho","6991","Agrifood Systems Waste Disposal","723113","Emissions (CO2eq) (AR5)","kt","89.834222","E","91.932279","E","94.162266","E","96.307907","E","98.052289","E","99.248341","E","101.587116","E","102.872168","E","103.750445","E","104.419905","E","109.582012","E","108.813395","E","109.422832","E","108.259211","E","109.658166","E","109.549357","E","109.378747","E","110.293318","E","109.461156","E","109.132794","E","110.092331","E","110.735655","E","111.003330","E","111.510176","E","109.673626","E","109.078223","E","108.367266","E","111.325041","E","112.093284","E","112.784314","E","113.448328","E","113.739714","E","113.739714","I"
"122","'426","Lesotho","6998","Cold Chain F-Gas","717815","Emissions (CO2eq) from F-gases (AR5)","kt","48.851674","E","50.227011","E","51.479807","E","27.840748","E","30.169653","E","32.893552","E","36.339142","E","39.847631","E","15.744444","E","21.413501","E","40.424704","E","55.512464","E","68.922802","E","82.816443","E","97.514030","E","115.887504","E","118.276387","E","117.239001","E","118.342457","E","119.104932","E","115.309351","E","114.568509","E","115.874945","E","118.282036","E","128.738931","E","142.244246","E","162.843791","E","182.037504","E","205.801086","E","226.189088","E","246.673246","E","269.232943","E","269.232943","I"
"123","'430","Liberia","6997","Pesticides Manufacturing","7273","Emissions (CO2)","kt","4.050891","E","3.963471","E","3.931593","E","3.783377","E","3.653317","E","3.503664","E","3.288645","E","3.117494","E","2.878642","E","2.203287","E","1.886778","E","1.967145","E","1.783578","E","2.226069","E","3.052101","E","4.753397","E","8.243395","E","10.465945","E","11.356036","E","11.555535","E","14.105635","E","15.951549","E","17.931040","E","19.801314","E","23.843790","E","18.960939","E","19.633638","E","19.625398","E","26.105596","E","25.526231","E","12.943634","E","28.119350","E","28.119350","I"
"123","'430","Liberia","6997","Pesticides Manufacturing","7225","Emissions (CH4)","kt","0.000157","E","0.000153","E","0.000154","E","0.000156","E","0.000150","E","0.000142","E","0.000130","E","0.000123","E","0.000104","E","0.000082","E","0.000080","E","0.000080","E","0.000072","E","0.000089","E","0.000122","E","0.000190","E","0.000342","E","0.000437","E","0.000460","E","0.000451","E","0.000560","E","0.000642","E","0.000720","E","0.000745","E","0.000895","E","0.000710","E","0.000726","E","0.000707","E","0.000982","E","0.000959","E","0.000471","E","0.001057","E","0.001057","I"
"123","'430","Liberia","6997","Pesticides Manufacturing","7230","Emissions (N2O)","kt","0.000040","E","0.000039","E","0.000038","E","0.000039","E","0.000038","E","0.000037","E","0.000034","E","0.000031","E","0.000027","E","0.000020","E","0.000018","E","0.000019","E","0.000017","E","0.000021","E","0.000029","E","0.000044","E","0.000079","E","0.000100","E","0.000107","E","0.000105","E","0.000131","E","0.000148","E","0.000163","E","0.000170","E","0.000206","E","0.000158","E","0.000165","E","0.000161","E","0.000220","E","0.000211","E","0.000089","E","0.000232","E","0.000232","I"
"123","'430","Liberia","6997","Pesticides Manufacturing","723113","Emissions (CO2eq) (AR5)","kt","4.065780","E","3.978117","E","3.946014","E","3.798191","E","3.667648","E","3.517440","E","3.301243","E","3.129250","E","2.888711","E","2.210963","E","1.893832","E","1.974365","E","1.790183","E","2.234203","E","3.063296","E","4.770504","E","8.273932","E","10.504593","E","11.397347","E","11.595942","E","14.156119","E","16.008702","E","17.994505","E","19.867283","E","23.923512","E","19.022715","E","19.697639","E","19.687755","E","26.191499","E","25.608979","E","12.980272","E","28.210504","E","28.210504","I"
"123","'430","Liberia","6815","Food Transport","7273","Emissions (CO2)","kt","9.856070","E","8.136044","E","9.808955","E","10.512754","E","11.185022","E","11.857289","E","13.204955","E","14.552620","E","15.915791","E","16.588058","E","17.589807","E","18.938713","E","19.463382","E","21.505563","E","25.931502","E","30.439886","E","34.194704","E","32.261185","E","26.087883","E","27.731056","E","41.424202","E","48.720679","E","51.171778","E","53.592054","E","35.740947","E","34.458922","E","30.946475","E","28.105053","E","24.661974","E","58.522444","E","37.244856","E","37.156156","E","37.156156","I"
"123","'430","Liberia","6815","Food Transport","7225","Emissions (CH4)","kt","0.003533","E","0.002924","E","0.003324","E","0.003359","E","0.003394","E","0.003429","E","0.003707","E","0.003985","E","0.004264","E","0.004299","E","0.004455","E","0.004733","E","0.004545","E","0.004959","E","0.005851","E","0.006743","E","0.008016","E","0.007262","E","0.005971","E","0.007605","E","0.010267","E","0.012450","E","0.012225","E","0.014594","E","0.008067","E","0.007636","E","0.006256","E","0.005226","E","0.004195","E","0.016406","E","0.008950","E","0.008694","E","0.008694","I"
"123","'430","Liberia","6815","Food Transport","7230","Emissions (N2O)","kt","0.001132","E","0.000937","E","0.001088","E","0.001124","E","0.001159","E","0.001193","E","0.001306","E","0.001419","E","0.001532","E","0.001566","E","0.001640","E","0.001753","E","0.001733","E","0.001900","E","0.002264","E","0.002635","E","0.003052","E","0.002819","E","0.002307","E","0.002700","E","0.003815","E","0.004565","E","0.004620","E","0.005206","E","0.003126","E","0.002986","E","0.002557","E","0.002227","E","0.001872","E","0.005780","E","0.003368","E","0.003312","E","0.003312","I"
"123","'430","Liberia","6815","Food Transport","723113","Emissions (CO2eq) (AR5)","kt","10.255065","E","8.466089","E","10.190400","E","10.904614","E","11.587057","E","12.269500","E","13.654824","E","15.040148","E","16.441098","E","17.123541","E","18.149143","E","19.535717","E","20.049969","E","22.147853","E","26.695151","E","31.327030","E","35.227983","E","33.211615","E","26.866517","E","28.659509","E","42.722748","E","50.279112","E","52.738298","E","55.380342","E","36.795337","E","35.463955","E","31.799182","E","28.841636","E","25.275617","E","60.513434","E","38.387977","E","38.277167","E","38.277167","I"
"123","'430","Liberia","6508","Food Retail","7273","Emissions (CO2)","kt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.044608","E","0.089216","E","0.133825","E","0.178433","E","0.223041","E","0.267649","E","0.312257","E","0.356866","E","0.401474","E","0.446082","E","0.446082","E","0.446082","E","0.446082","E","0.446082","E","0.446082","E","0.446082","E","0.892164","E","0.892164","I"
